"id","title","body","created_at","closed_at","days_to_close","issue_priority","milestone","author_name","user_atribute_to_resolve_issue","issue_classification"
2,"Enable unused variable checking in ruff","### 🚀 The feature, motivation and pitch

pytorch uses ruff, but with several potentially useful flags turned off.

In particular, [F841](https://docs.astral.sh/ruff/rules/unused-variable/#unused-variable-f841) detects unused variables, which have caused issues in the past (e.g. https://github.com/pytorch/pytorch/pull/132744) and are if nothing else a waste of space.

There are a few hundred unused variables in the pytorch code; most are trivial, a few are real issues.

I have already started on doing this as a spare-time project. The main pull requests follow:

- [x] https://github.com/pytorch/pytorch/pull/133492
- [x] https://github.com/pytorch/pytorch/pull/136963
- [x] https://github.com/pytorch/pytorch/pull/134665
- [x] https://github.com/pytorch/pytorch/pull/136964
- [x] https://github.com/pytorch/pytorch/pull/136359
- [x] https://github.com/pytorch/pytorch/pull/136965

In addition, several tiny commits were extracted from this on request in code reviews:

- [x] https://github.com/pytorch/pytorch/pull/138480
- [x] https://github.com/pytorch/pytorch/pull/138473
- [x] https://github.com/pytorch/pytorch/pull/138474
- [x] https://github.com/pytorch/pytorch/pull/138475
- [x] https://github.com/pytorch/pytorch/pull/138094
- [x] https://github.com/pytorch/pytorch/pull/138086
- [x] https://github.com/pytorch/pytorch/pull/138085
- [x] https://github.com/pytorch/pytorch/pull/138000
- [x] https://github.com/pytorch/pytorch/pull/137998
- [x] https://github.com/pytorch/pytorch/pull/137989
- [x] https://github.com/pytorch/pytorch/pull/137985
- [x] https://github.com/pytorch/pytorch/pull/143191
- [x] https://github.com/pytorch/pytorch/pull/143389
- [x] https://github.com/pytorch/pytorch/pull/143396
- [x] https://github.com/pytorch/pytorch/pull/143399
- [x] https://github.com/pytorch/pytorch/pull/143407


### Alternatives

Leaving things the way they were. :-)
","2024-11-30","2024-12-22","22","priorized",NULL,"Tom Ritchford","albanD","OTHERS"
3,"Not all methods from `mps/operations/MultiTensorApply.h` are covered by tests","### 🐛 Describe the bug

While working on https://github.com/pytorch/pytorch/pull/140896
I've accidentally deleted body of
https://github.com/pytorch/pytorch/blob/e80b1b2870ad568aebdbb7f5205f6665f843e0ea/aten/src/ATen/native/mps/operations/MultiTensorApply.h#L76-L85 (see https://github.com/pytorch/pytorch/pull/140896/commits/44c516332926e856ee5a456c20a5d6dfea0e5706#diff-13e6ddc055c896f13df4431cb5cd90f6432ac0ab32ac77d726f75a25fa470667 ), but CI turned out green.

I see three explanations for this behavior:
 - MultiTensorApply for MPS is not covered by tests
 - MTA tests are not executed during `ciflow/mps` (or TD decided to skip the test)
 - This method is not used at all by the codebase, and should be deleted

### Versions

CI

cc @mruberry @ZainRizvi @crcrpar @mcarilli @janeyx99 @kulinseth @albanD @DenisVieriu97 @jhavukainen","2024-11-18","2024-11-19","1","priorized",NULL,"Nikita Shulga","qqaatw","SOFTWARE ARCHITECTURE"
4,"Duplicate declaration of double_tensor in the ""Promotion examples"" documentation","### 📚 The doc issue

I noticed a small issue in the PyTorch documentation on [Promotion examples](https://pytorch.org/docs/stable/tensor_attributes.html#torch.dtyp) In the provided example script, the variable `double_tensor` is declared twice.
```python
float_tensor = torch.ones(1, dtype=torch.float)
double_tensor = torch.ones(1, dtype=torch.double)
complex_float_tensor = torch.ones(1, dtype=torch.complex64)
complex_double_tensor = torch.ones(1, dtype=torch.complex128)
int_tensor = torch.ones(1, dtype=torch.int)
long_tensor = torch.ones(1, dtype=torch.long)
uint_tensor = torch.ones(1, dtype=torch.uint8)
double_tensor = torch.ones(1, dtype=torch.double)
bool_tensor = torch.ones(1, dtype=torch.bool)
long_zerodim = torch.tensor(1, dtype=torch.long)
int_zerodim = torch.tensor(1, dtype=torch.int)

torch.add(5, 5).dtype
(int_tensor + 5).dtype
(int_tensor + long_zerodim).dtype
(long_tensor + int_tensor).dtype
(bool_tensor + long_tensor).dtype
(bool_tensor + uint_tensor).dtype
(float_tensor + double_tensor).dtype
(complex_float_tensor + complex_double_tensor).dtype
(bool_tensor + int_tensor).dtype
torch.add(long_tensor, float_tensor).dtype
```


### Suggest a potential alternative/fix

I would like to submit a PR to remove the second declaration of double_tensor. Please let me know if this fix sounds good.

cc @svekars @brycebortree @sekyondaMeta @AlannaBurke","2024-11-17","2024-11-18","1","priorized",NULL,"AAnirudh07","AAnirudh07","SOFTWARE ARCHITECTURE"
5,"ruff linter gives traceback on Python files which can't be parsed","### 🐛 Describe the bug

Running the `ruff` linter over a commit which includes a Python file which won't parse (due to i.e. mismatched brackets or bad indenting) prints a traceback and suggests filing an issue against the linter.

The correct action would be to report some sort of general ""Invalid Python syntax"" on the file itself in a format similar to other ruff errors.

This is pretty minor, but it irks me when I see it, and since I'm working with linters these last couple of weeks, I can just fix it while I'm in that directory, anyway. 🙂 

```
>>> General linter failure:

  Error (RUFF) Linter failed
    Linter failed. This a bug, please file an issue against the linter
    maintainer.
    
    CONTEXT:
    Linter command failed with non-zero exit code.
    STDERR:
    <MainThread:DEBUG> $ /home/rec/.conda/envs/pytorch-dev/bin/python3 -m ruff
    check --exit-zero --quiet --output-format=json --config=pyproject.toml /
    home/rec/git/pytorch/tools/linter/adapters/_common_code.py /home/rec/git/
    pytorch/tools/linter/adapters/set_linter.py
    <MainThread:DEBUG> took 58ms
    Traceback (most recent call last):
      File ""/home/rec/git/pytorch/tools/linter/adapters/ruff_linter.py"", line
    465, in <module>
        main()
      File ""/home/rec/git/pytorch/tools/linter/adapters/ruff_linter.py"", line
    424, in main
        lint_messages = check_files(
      File ""/home/rec/git/pytorch/tools/linter/adapters/ruff_linter.py"", line
    273, in check_files
        return [
      File ""/home/rec/git/pytorch/tools/linter/adapters/ruff_linter.py"", line
    288, in <listcomp>
        severity=severities.get(vuln[""code""],
    get_issue_severity(vuln[""code""])),
      File ""/home/rec/git/pytorch/tools/linter/adapters/ruff_linter.py"", line
    172, in get_issue_severity
        if any(
      File ""/home/rec/git/pytorch/tools/linter/adapters/ruff_linter.py"", line
    173, in <genexpr>
        code.startswith(x)
    AttributeError: 'NoneType' object has no attribute 'startswith'
    
    
    STDOUT:
```    


### Versions

```
PyTorch version: N/A
Is debug build: N/A
CUDA used to build PyTorch: N/A
ROCM used to build PyTorch: N/A

OS: Ubuntu 22.04.5 LTS (x86_64)
GCC version: (conda-forge gcc 12.3.0-7) 12.3.0
Clang version: Could not collect
CMake version: version 3.30.5
Libc version: glibc-2.35

Python version: 3.9.20 | packaged by conda-forge | (main, Sep 30 2024, 17:49:10)  [GCC 13.3.0] (64-bit runtime)
Python platform: Linux-5.15.0-124-generic-x86_64-with-glibc2.35
Is CUDA available: N/A
CUDA runtime version: 12.4.131
CUDA_MODULE_LOADING set to: N/A
GPU models and configuration: 
GPU 0: NVIDIA GeForce RTX 2060
GPU 1: NVIDIA GeForce RTX 2060

Nvidia driver version: 560.35.03
cuDNN version: Probably one of the following:
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn.so.8
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn_adv_infer.so.8
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn_adv_train.so.8
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn_cnn_infer.so.8
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn_cnn_train.so.8
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn_ops_infer.so.8
/usr/local/cuda-11.7.1/targets/x86_64-linux/lib/libcudnn_ops_train.so.8
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_adv.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_cnn.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_engines_precompiled.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_engines_runtime_compiled.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_graph.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_heuristic.so.9
/usr/local/cuda-12.3.2/targets/x86_64-linux/lib/libcudnn_ops.so.9
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: N/A

CPU:
Architecture:                         x86_64
CPU op-mode(s):                       32-bit, 64-bit
Address sizes:                        43 bits physical, 48 bits virtual
Byte Order:                           Little Endian
CPU(s):                               64
On-line CPU(s) list:                  0-63
Vendor ID:                            AuthenticAMD
Model name:                           AMD Ryzen Threadripper 3970X 32-Core Processor
CPU family:                           23
Model:                                49
Thread(s) per core:                   2
Core(s) per socket:                   32
Socket(s):                            1
Stepping:                             0
Frequency boost:                      enabled
CPU max MHz:                          3700.0000
CPU min MHz:                          2200.0000
BogoMIPS:                             7400.24
Flags:                                fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf rapl pni pclmulqdq monitor ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 hw_pstate ssbd mba ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr rdpru wbnoinvd amd_ppin arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold avic v_vmsave_vmload vgif v_spec_ctrl umip rdpid overflow_recov succor smca sme sev sev_es
Virtualization:                       AMD-V
L1d cache:                            1 MiB (32 instances)
L1i cache:                            1 MiB (32 instances)
L2 cache:                             16 MiB (32 instances)
L3 cache:                             128 MiB (8 instances)
NUMA node(s):                         1
NUMA node0 CPU(s):                    0-63
Vulnerability Gather data sampling:   Not affected
Vulnerability Itlb multihit:          Not affected
Vulnerability L1tf:                   Not affected
Vulnerability Mds:                    Not affected
Vulnerability Meltdown:               Not affected
Vulnerability Mmio stale data:        Not affected
Vulnerability Reg file data sampling: Not affected
Vulnerability Retbleed:               Mitigation; untrained return thunk; SMT enabled with STIBP protection
Vulnerability Spec rstack overflow:   Mitigation; safe RET
Vulnerability Spec store bypass:      Mitigation; Speculative Store Bypass disabled via prctl and seccomp
Vulnerability Spectre v1:             Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:             Mitigation; Retpolines; IBPB conditional; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
Vulnerability Srbds:                  Not affected
Vulnerability Tsx async abort:        Not affected

Versions of relevant libraries:
[pip3] flake8==6.1.0
[pip3] flake8-bugbear==23.3.23
[pip3] flake8-comprehensions==3.15.0
[pip3] flake8-executable==2.1.3
[pip3] flake8-logging-format==0.9.0
[pip3] flake8-pyi==23.3.1
[pip3] flake8-simplify==0.19.3
[pip3] mypy==1.11.2
[pip3] mypy-extensions==1.0.0
[pip3] numpy==1.26.0
[pip3] optree==0.13.0
[pip3] pytorch-triton==3.1.0+cf34004b8a
[conda] cuda-cudart               12.4.127             he02047a_2    conda-forge
[conda] cuda-cudart-dev           12.4.127             he02047a_2    conda-forge
[conda] cuda-cudart-dev_linux-64  12.4.127             h85509e4_2    conda-forge
[conda] cuda-cudart-static        12.4.127             he02047a_2    conda-forge
[conda] cuda-cudart-static_linux-64 12.4.127             h85509e4_2    conda-forge
[conda] cuda-cudart_linux-64      12.4.127             h85509e4_2    conda-forge
[conda] cuda-cupti                12.4.127             he02047a_2    conda-forge
[conda] cuda-cupti-dev            12.4.127             he02047a_2    conda-forge
[conda] cuda-libraries-dev        12.4.1               ha770c72_1    conda-forge
[conda] cuda-nvrtc                12.4.127             he02047a_2    conda-forge
[conda] cuda-nvrtc-dev            12.4.127             he02047a_2    conda-forge
[conda] cuda-nvtx                 12.4.127             he02047a_2    conda-forge
[conda] cuda-nvtx-dev             12.4.127             ha770c72_2    conda-forge
[conda] cuda-opencl               12.4.127             he02047a_1    conda-forge
[conda] cuda-opencl-dev           12.4.127             he02047a_1    conda-forge
[conda] cudnn                     9.3.0.75             h93bb076_0    conda-forge
[conda] libcublas                 12.4.5.8             he02047a_2    conda-forge
[conda] libcublas-dev             12.4.5.8             he02047a_2    conda-forge
[conda] libcufft                  11.2.1.3             he02047a_2    conda-forge
[conda] libcufft-dev              11.2.1.3             he02047a_2    conda-forge
[conda] libcurand                 10.3.5.147           he02047a_2    conda-forge
[conda] libcurand-dev             10.3.5.147           he02047a_2    conda-forge
[conda] libcusolver               11.6.1.9             he02047a_2    conda-forge
[conda] libcusolver-dev           11.6.1.9             he02047a_2    conda-forge
[conda] libcusparse               12.3.1.170           he02047a_2    conda-forge
[conda] libcusparse-dev           12.3.1.170           he02047a_2    conda-forge
[conda] libmagma                  2.8.0                h0af6554_0    conda-forge
[conda] libmagma_sparse           2.8.0                h0af6554_0    conda-forge
[conda] libnvjitlink              12.4.127             he02047a_2    conda-forge
[conda] libnvjitlink-dev          12.4.127             he02047a_2    conda-forge
[conda] magma                     2.8.0                h51420fd_0    conda-forge
[conda] mkl                       2024.2.2            ha957f24_15    conda-forge
[conda] mkl-include               2024.2.2            ha957f24_15    conda-forge
[conda] numpy                     1.26.0                   pypi_0    pypi
[conda] optree                    0.13.0           py39h74842e3_0    conda-forge
[conda] pytorch-triton            3.1.0+cf34004b8a          pypi_0    pypi
[conda] torchfix                  0.4.0                    pypi_0    pypi
```
","2024-11-10","2024-12-08","28","priorized",NULL,"Tom Ritchford","Tom Ritchford","PROJECT PATTERNS"
6,"When running PyTorch on macOS with Metal validation enabled, it crashes","### 🐛 Describe the bug

When Metal validation is enabled for macOS by setting `METAL_DEVICE_WRAPPER_TYPE=1`, it crashes with the following output:
```
validateComputeFunctionArguments:1056: failed assertion `Compute Function(gather_kernel_1): missing buffer binding at index 2 for size[0].'
Abort trap: 6
```

It appears to be caused by `-setBytes:length:` being given a length parameter of 0, which metal considers as not having set the buffer binding for that variable. Metal validation is turned on by default when running a macOS app from Xcode, so this crash can occur for PyTorch runs from Xcode without the developer understanding that it's due to Metal validation.

### Versions

Collecting environment information...
PyTorch version: 2.3.1
Is debug build: False
CUDA used to build PyTorch: None
ROCM used to build PyTorch: N/A

OS: macOS 14.5 (arm64)
GCC version: Could not collect
Clang version: 15.0.0 (clang-1500.0.40.1)
CMake version: version 3.27.4
Libc version: N/A

Python version: 3.12.0 (main, Jul  1 2024, 13:41:52) [Clang 15.0.0 (clang-1500.0.40.1)] (64-bit runtime)
Python platform: macOS-14.5-arm64-arm-64bit
Is CUDA available: False
CUDA runtime version: No CUDA
CUDA_MODULE_LOADING set to: N/A
GPU models and configuration: No CUDA
Nvidia driver version: No CUDA
cuDNN version: No CUDA
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: True

CPU:
Apple M1 Max

Versions of relevant libraries:
[pip3] numpy==1.26.4
[pip3] torch==2.3.1
[pip3] torchaudio==2.3.1
[pip3] torchsde==0.2.6
[pip3] torchvision==0.18.1
[conda] Could not collect

cc @kulinseth @albanD @malfet @DenisVieriu97 @jhavukainen","2024-07-09","2024-07-10","1","priorized",NULL,"Michael Eisel","Michael Eisel","OTHERS"
7,"[BE] wrap deprecated function/class with `typing_extensions.deprecated` for better IDE integration","If you have a question or would like help and support, please ask at our
[forums](https://discuss.pytorch.org/).

If you are submitting a feature request, please preface the title with [feature request].
If you are submitting a bug report, please fill in the following details.

## Issue description

Provide a short description.

Currently, we use `warnings.warn(""deprecation message"", DeprecationWarning)` to warn users of functionality deprecation and pending removals.

Python 3.13 adds a new API [`warnings.deprecated`](https://docs.python.org/zh-cn/3.13/library/warnings.html#warnings.deprecated) for deprecation indication. This feature has better static type checker support. When a deprecated object is imported or called, the code will ~~be struck out~~ in the IDE.

[`warnings.deprecated`](https://docs.python.org/zh-cn/3.13/library/warnings.html#warnings.deprecated) is backported in `typing-extensions` 4.5.0 ([typing_extensions.deprecated](https://typing-extensions.readthedocs.io/en/latest/#typing_extensions.deprecated)), which is already one of our dependency.

https://github.com/pytorch/pytorch/blob/3e826c477aba0a0cf9bea4131cee57aac21c1c14/requirements.txt#L11

Screenshot to illustrate the IDE integration with ~~strick out annotation~~.

<img width=""1026"" alt=""image"" src=""https://github.com/pytorch/pytorch/assets/16078332/9445111f-670d-4339-96fc-3985ce3889bf"">

## Code example

Please try to provide a minimal example to repro the bug.
Error messages and stack traces are also helpful.

```python
from typing_extensions import deprecated


@deprecated(
    ""Function `deprecated_func` is deprecated and will be removed in a future release. Use `new_func` instead.""
)
def deprecated_func():
    return ""deprecated_func""


def new_func():
    return ""new_func""


@deprecated(
    ""Class `DeprecatedClass` is deprecated and will be removed in a future release. Use `NewClass` instead.""
)
class DeprecatedClass:
    pass


class InheritedDeprecatedClass(DeprecatedClass):
    pass


class NewClass:
    pass


class Foo:
    @deprecated(""Method `Foo.bar` is deprecated and will be removed in a future release."")
    def bar(self):
        print(""Hello, world!"")


if __name__ == ""__main__"":
    print(deprecated_func())
    print(new_func())
    instance = DeprecatedClass()
```

cc @ezyang @malfet @xuzhao9 @gramster","2024-05-22","2024-06-02","11","priorized",NULL,"Xuehai Pan","ezyang","OTHERS"
8,"Update test_cuda.py and test_torch.py optim tests to use OptimizerInfo and optim_db","### 🚀 The feature, motivation and pitch

**Update: all tasks below have in progress PRs currently!**

In test_cuda.py and test_torch.py, we have the following optimizer tests that should be migrated to use the new OptimizerInfo infrastructure. (See any of the tests in TestOptimRenewed for how to apply OptimizerInfos.) The basic structure to expect for an updated test will look like:

```
    @optims([optim for optim in optim_db if ...], dtypes=[torch.float32])
    def test_name(self, device, dtype, optim_info):
        optim_cls = optim_info.optim_cls
        optim_inputs = optim_info.optim_inputs_func(device=device)
        for optim_input in optim_inputs:
            params = ...
            // processing, like updating grads

            optimizer = optim_cls(params, ..., **optim_input.kwargs)

            // the actual test
            ...
            self.assertEquals(...)
```

test_cuda.py:
- [ ] test_grad_scaling_autocast_fused_optimizers will be addressed in https://github.com/pytorch/pytorch/pull/124904 and by @SandishKumarHN 
- [x] test_graph_grad_scaling
- [ ] test_graph_optims
- [ ] test_graph_optims_with_explicitly_capturable_param_groups
- [ ] test_graph_scaling_fused_optimizers

test_torch.py: #125538
- [x] tests that call `_grad_scaling_autocast_test` can be combined into one test
- [x] test_params_invalidated_with_grads_invalidated_between_unscale_and_step should be tested on more configurations (like SGD fused!) 
- there are many other tests that test just one optimizer config that we can leave for now.

Feel free to take up one or a subset of those tests to migrate--edit your username next to the checklist to claim an item to submit PRs for!

### Alternatives

_No response_

### Additional context

_No response_

cc @vincentqb @jbschlosser @albanD @crcrpar","2024-04-05","2024-08-28","145","priorized",NULL,"Jane (Yuan) Xu","janeyx99","SOFTWARE ARCHITECTURE"
9,"[BE] De-dup `run_subtests` from `common_dtensor.py`, `common_fsdp.py`","The two look like they are exact copies. We should de-dup them, e.g. possibly to `common_distributed.py`.

https://github.com/pytorch/pytorch/blob/b4160fd9c7983277271d21e56344839d49c98f64/torch/testing/_internal/distributed/_tensor/common_dtensor.py#L287-L316
https://github.com/pytorch/pytorch/blob/dccc1ca839def32f4adef6d850688d517854482b/torch/testing/_internal/common_fsdp.py#L993-L1022

cc @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @H-Huang @kwen2501 @penguinwu @fegin @XilunWu @wanchaol @fduwjj @wz337 @tianyu-l @wconstab @yf225 @chauhang","2024-03-11","2024-03-22","11","priorized",NULL,"Andrew Gu","Andrew Gu","OTHERS"
10,"Better unittest isolation for global state","## Context

I've been working on getting the Dynamo tests to reset the Dynamo state before and after each unittest, otherwise, the state from one test affects subsequent tests, leading to unexpected behavior.

However, Dynamo is not the only place where we have global state. We've ran into situations in the past where changing e.g. the global default dtype in one test had a downstream effect on other tests.

Can we make unittests better by better isolating them somehow?

## Pitch

Some ideas:
- One naive way to do this is to run each test in its own process, but this is probably not feasible due to the amount of overhead it adds to each test.
- Another idea is to have some centralized place where ""all pytorch state"" is kept and reset this state before and after each test runs.
- Linters for abuse of APIs that modify global state? For example, instead of using torch.set_default_dtype, we should use a context-manager version (if we have one) so it's clear the global state gets cleaned up. This would still require us to identify all of the APIs that do modify global state and put them somewhere.

cc @ZainRizvi @kit1980 @huydhn @clee2000 @janeyx99, @jbschlosser, @pytorch/pytorch-dev-infra for ideas ","2024-01-08","2024-01-09","1","priorized",NULL,"Richard Zou","PaliC","OTHERS"
11,"Add testing regarding SparseAdam state_dicts","### 🚀 The feature, motivation and pitch

SparseAdam, unlike the other optimizers, does not test any state_dict functionality. All other optims call _test_state_dict, but due to SparseAdam's only handling sparse gradients, it does not easily fall into the architecture that already exists.

We should consider giving it its own closure that would update parameters like in `rosenbrock` and creating special case tests for it.

### Alternatives

Leave SparseAdam state_dict handling untested

### Additional context

_No response_

cc @vincentqb @jbschlosser @albanD @crcrpar @mruberry @ZainRizvi","2023-12-28","2024-07-16","201","priorized",NULL,"Jane (Yuan) Xu","Jane (Yuan) Xu","SOFTWARE ARCHITECTURE"
